Код,Артикул (с /),Артикул,Доп. поле: Артикул на сайте WB,Штрихкод EAN13,Группы,Код_1,Наименование,Артикул_2,Цена: Цена закупки в юанях,Закупочная цена,Штрихкод EAN13_3,Штрихкод EAN8,Вес,Доп. поле: Артикул на сайте WB_4,Доп. поле: ABC анализ,Доп. поле: Логистика (Кит-Мск),Доп. поле: Дата поступления первого остатка,Остаток,Продаж в день
01868,1865/5.2,1865,158292856,2000000019178,Для реабилитации,01868,"Шина на палец руки, фиксатор фаланговый 1шт - (4 размер)",1865/5.2,"1,6","30,0",2000000019178,,"0,02",158292856,C2,"34,5",,0.0,
01159,1159a,1159a,99714078/168020389,2000000009223,Стоматология,01159,Титановая нить для коррекции ногтя. Размер 12 - 10 шт. в уп. ВЕРХНИЕ 上,1159a,"3,0","131,0",2000000009223,1159а,"0,01",99714078/168020389,B1,"34,5",,35.0,
01596,1596,1596,149124658,2000000014920,Для животных,01596,декорации для аквариума котик трехцветный,1596,"9,8","291,0",2000000014920,1596,"0,02",149124658,Sale,"34,5",,0.0,
01196,1196,1196,133927511,2000000009674,Здоровье,01196,Пакетик для ванн травяной для ног чайные KINOKI Банный фитосбор 30 шт. Оранжевый пакет.,1196,"1,4","94,91",2000000009674,1196,"0,02",133927511,Sale,"34,5",,0.0,
00827,827_родитель,827_родитель,80315625,2000000004440,Для животных,00827,Ниппельная автопоилка для свиней 1 ШТ. с фильтром красным,827_родитель,"1,8","95,0",2000000004440,827,"0,07",80315625,A1 TOP,"29,5",,1551.0,
01695,1695,1695,152204920,2000000016641,Красота,01695,Консилер для волос для закрашивания седины (коричн),1695,"5,0","161,0",2000000016641,1695,"0,03",152204920,C1,"34,5",,0.0,
01696,1696,1696,152204921,Некорректные данные: + 2000000016900,Красота,01696,Консилер для волос для закрашивания седины (черн),1696,"5,0","161,0",Некорректные данные: + 2000000016900,{'ean13': '2000000016900'},"0,03",152204921,C1,"34,5",,0.0,
01697,1697,1697,154123596/164165398,2000000016719,Красота,01697,"Консилер для волос для закрашивания седины, 7 мл , средне-коричн (medium)",1697,"6,9","182,0",2000000016719,1697,"0,02",154123596/164165398,C2,"34,5",,0.0,
01698,1698,1698,154123597/164165828,2000000016696,Красота,01698,"Консилер для волос для закрашивания седины, 7 мл , черный",1698,"6,9","182,0",2000000016696,1698,"0,02",154123597/164165828,C2,"34,5",,0.0,
01699,1699,1699,154128424,Некорректные данные: + 2000000016887,Красота,01699,"Камуфлирующая пудра для волос, 4 г, Light coffee, легкий кофе 4 г",1699,"9,6","242,0",Некорректные данные: + 2000000016887,{'ean13': '2000000016887'},"0,05",154128424,C2,"34,5",,0.0,
